EMPID,fullName,Dept,Age,Salary($),JoinDate,Performance,Remote
101,Alice Johnson,IT,29,$5500.50,2021/04/12,87,Yes
102,MICHEAL smith,hr,thirty-five,4800,2020/11/01,73,No
103,sarah lee,Mktng,26,4200.71,18/01/2020,90,Y
104,David-kim,IT,31,NaN,2019/9/02,65,N
105,,finance,42,6100,"July 5, 2018",82,yes
106,john brown,marketing,27,"4,300",2021/10/14,75,no
,Emma Wilson,Finance,33,5000,2019.12.01,88,Y
108,TOM davis,,30,5800,March 22 2020,,Yes
109,Jane Miller,HR,,4700.0,2021-05-10,79%,
110,Chris taylor,marketing,28,4400,Feb-05-2022,91,True
